purchase_id,learner_id,full_name,country,course_id,course_name,category,quantity,unit_price,total_amount,purchase_date
1,1,"Shalini Kumar",India,101,"Python for Beginners",Programming,1,1200.00,1200.00,2026-01-10
6,1,"Shalini Kumar",India,102,"Advanced Excel",Analytics,1,900.00,900.00,2026-01-22
16,1,"Shalini Kumar",India,111,"Data Science with Python",AI,1,2200.00,2200.00,2026-02-08
26,1,"Shalini Kumar",India,106,"Tableau Essentials",Analytics,1,1400.00,1400.00,2026-02-21
36,1,"Shalini Kumar",India,101,"Python for Beginners",Programming,1,1200.00,1200.00,2026-03-06
46,1,"Shalini Kumar",India,111,"Data Science with Python",AI,1,2200.00,2200.00,2026-03-18
56,1,"Shalini Kumar",India,121,"AWS Solutions Architect",Cloud,1,3000.00,3000.00,2026-04-01
66,1,"Shalini Kumar",India,131,"Natural Language Processing",AI,1,3100.00,3100.00,2026-04-11
2,2,"Rahul Sharma",India,102,"Advanced Excel",Analytics,2,900.00,1800.00,2026-01-12
7,2,"Rahul Sharma",India,103,"Power BI Masterclass",Analytics,2,1500.00,3000.00,2026-01-24
17,2,"Rahul Sharma",India,112,"Cyber Security Basics",Technology,1,1700.00,1700.00,2026-02-09
27,2,"Rahul Sharma",India,107,"Java Programming",Programming,1,1600.00,1600.00,2026-02-22
37,2,"Rahul Sharma",India,102,"Advanced Excel",Analytics,3,900.00,2700.00,2026-03-07
47,2,"Rahul Sharma",India,112,"Cyber Security Basics",Technology,2,1700.00,3400.00,2026-03-19
57,2,"Rahul Sharma",India,122,"Python for Data Science",AI,2,2400.00,4800.00,2026-04-02
67,2,"Rahul Sharma",India,132,"Content Strategy Masterclass",Marketing,2,1450.00,2900.00,2026-04-12
3,3,"John Smith",USA,103,"Power BI Masterclass",Analytics,1,1500.00,1500.00,2026-01-15
8,3,"John Smith",USA,104,"Digital Marketing",Marketing,1,1100.00,1100.00,2026-01-26
18,3,"John Smith",USA,113,"Excel Dashboarding",Analytics,2,1000.00,2000.00,2026-02-10
28,3,"John Smith",USA,108,"Machine Learning Basics",AI,2,2000.00,4000.00,2026-02-23
38,3,"John Smith",USA,103,"Power BI Masterclass",Analytics,1,1500.00,1500.00,2026-03-08
48,3,"John Smith",USA,113,"Excel Dashboarding",Analytics,1,1000.00,1000.00,2026-03-20
58,3,"John Smith",USA,123,"Advanced Power BI",Analytics,1,2000.00,2000.00,2026-04-03
68,3,"John Smith",USA,133,"PostgreSQL Advanced",Database,1,2100.00,2100.00,2026-04-13
4,4,"Maria Garcia",Spain,104,"Digital Marketing",Marketing,3,1100.00,3300.00,2026-01-18
9,4,"Maria Garcia",Spain,105,"SQL Complete Course",Database,2,1300.00,2600.00,2026-01-28
19,4,"Maria Garcia",Spain,114,"Content Marketing",Marketing,1,1150.00,1150.00,2026-02-11
29,4,"Maria Garcia",Spain,109,"UI/UX Design",Design,1,1250.00,1250.00,2026-02-24
39,4,"Maria Garcia",Spain,104,"Digital Marketing",Marketing,2,1100.00,2200.00,2026-03-09
49,4,"Maria Garcia",Spain,114,"Content Marketing",Marketing,2,1150.00,2300.00,2026-03-21
59,4,"Maria Garcia",Spain,124,"SEO Optimization Course",Marketing,3,1350.00,4050.00,2026-04-04
69,4,"Maria Garcia",Spain,134,"DevOps Fundamentals",Cloud,1,2700.00,2700.00,2026-04-14
5,5,"Aisha Khan",UAE,105,"SQL Complete Course",Database,1,1300.00,1300.00,2026-01-20
10,5,"Aisha Khan",UAE,101,"Python for Beginners",Programming,1,1200.00,1200.00,2026-01-30
20,5,"Aisha Khan",UAE,115,"Web Development Bootcamp",Programming,1,2500.00,2500.00,2026-02-12
